Code,Department Name,Undergrad Courses,Quality,Difficulty,Workload
AAAS,AAAS007.02: Women & Gender in Caribbean,,"INT, SOC, W",0,3,Signup to reveal
AAAS,AAAS007.05: Imagining Freedom,,"SOC, CI",0,4,Signup to reveal
AAAS,AAAS007: First Year Seminar,,,9,3,Signup to reveal
AAAS,AAAS009: Introduction to AAAS Diaspora Studies,,"INT, CI",3,2,Signup to reveal
AAAS,AAAS010: Introduction to African-American Studies,,"SOC, CI",16,10,Signup to reveal
AAAS,AAAS011: Introduction to African Studies,,"SOC, NW",9,10,Signup to reveal
AAAS,AAAS012: Race and Slavery in U.S. History,,"SOC, W",10,5,Signup to reveal
AAAS,AAAS013: Black America since the Civil War,,"SOC, W",0,0,Signup to reveal
AAAS,AAAS014: Pre-Colonial African History,,"SOC, NW",8,1,Signup to reveal
AAAS,AAAS015: History of Africa since 1800,,"SOC, NW",11,2,Signup to reveal
AAAS,"AAAS016: History, Culture and Society: The Many Faces of Latin America",,"NW, LIT",18,2,Signup to reveal
AAAS,AAAS018.03: Introduction to African Religions,,"NW, TMV",1,1,Signup to reveal
AAAS,AAAS018: Introduction to African Religions,,,4,1,Signup to reveal
AAAS,AAAS019: Africa and the World,,"INT, SOC, NW",7,4,Signup to reveal
AAAS,AAAS020.01: Dartmouth Black Lives,,"SOC, CI",1,2,Signup to reveal
AAAS,AAAS020.15: Black Feminist Thought,,"SOC, CI",1,3,Signup to reveal
AAAS,"AAAS020.50: Lest We Forget: History, Collective Memory and Slavery at Dartmouth",,SOC,0,1,Signup to reveal
AAAS,AAAS020: Feminist Theory,,SOC,0,0,Signup to reveal
AAAS,AAAS021.05: Carceral Geographies,,SOC,1,-1,Signup to reveal
AAAS,"AAAS021.10: Race and Modernity: W.E.B. DuBois, James Baldwin, Lorraine Hansberry",,"LIT, W",0,1,Signup to reveal
AAAS,AAAS021.15: Black Ethnicities in the US,,"SOC, W",0,1,Signup to reveal
AAAS,"AAAS021.50: The Color Line, Lynching and the Black Public Sphere: Social & Political Thought of Ida Wells & DuBois",,TMV,0,0,Signup to reveal
AAAS,AAAS021.75: Black Political Thought,,TMV,0,0,Signup to reveal
AAAS,AAAS021: Racial Justice,,SOC,0,0,Signup to reveal
AAAS,AAAS022.10: African American Religion and Culture in Jim Crow America,,"TMV, CI",1,1,Signup to reveal
AAAS,AAAS022.50: Islam in America,,,0,1,Signup to reveal
AAAS,AAAS022: Religion and the Civil Rights Movement,,"SOC, CI",1,0,Signup to reveal
AAAS,AAAS023: The Black Sporting Experience,,"SOC, CI",7,1,Signup to reveal
AAAS,AAAS024.50: Contemporary Black Political Thought and the Modern World,,"SOC, W",0,0,Signup to reveal
AAAS,AAAS024: The Black Radical Tradition in America,,"SOC, W",0,1,Signup to reveal
AAAS,AAAS025: Constructing Black Womanhood,,"SOC, CI",8,1,Signup to reveal
AAAS,AAAS026: Toni Morrison,,"INT, LIT, CI",20,4,Signup to reveal
AAAS,AAAS027: Transformative Spiritual Journeys. Contemporary Memoirs of African American Religion,,"TMV, CI",0,0,Signup to reveal
AAAS,"AAAS028.10: Race, Space, and Nature",,SOC,0,1,Signup to reveal
AAAS,AAAS031.10: Dance Theatre of Harlem Workshop: Collaborative Storytelling Through Movement,,"ART, CI",0,1,Signup to reveal
AAAS,AAAS031.50: Black Theatre Workshop: The August Wilson Experience,,,0,0,Signup to reveal
AAAS,AAAS031.80: Performing Histories & Us,,"ART, CI",0,0,Signup to reveal
AAAS,AAAS031.90: Black Theatre & Storytelling Workshop in XR: Reimagining The Purple Flower (1928),,"ART, CI",0,0,Signup to reveal
AAAS,"AAAS031: Black Theater, U.S.A.",,"ART, CI",6,2,Signup to reveal
AAAS,AAAS032.01: Race and Gender in American Film,,,0,1,Signup to reveal
AAAS,AAAS032.02: Black Queer Literature and Film,,"ART, CI",0,0,Signup to reveal
